01-01;Manuel, Emanuel, Jesús
03-27;Ruperto, Lilia, Alejandro
03-28;Esperanza, Gundelina
03-29;Jonas, Segundo
03-30;Quirino
03-31;Amós, Benjamín
04-01;Venancio
04-02;Ofelia, Francisco
04-03;Sixto
04-04;Isidoro, Platón
04-05;Emilia, Vicente Ferrer
04-06;Celso, Diógenes
04-07;Donato, Juan Bautista
04-08;Dionisio, Amancio
04-09;Hugo, Casilda, Eusequio
04-10;Ezequiel
04-11;Gema, Oria, Estanislao
04-12;Andrés, Damián, Julio, Zenón
04-13;Martín, Hermenegildo
04-14;Lamberto
04-15;Máximo, Aníbal
04-16;Engracia, Bernadeta
04-17;Rodolfo, Anicéto
04-18;Perfecto
04-19;León, Crescencio
04-20;Inés, Víctor
04-21;Anselmo
04-22;Teodoro, Alexander, Apeles
04-23;Adalberto, Jorge, Gorka
04-24;Leoncio, Honorio, Honoria, Fidel
04-25;Antonio, Antonieta, Marco, Marcia
04-26;Basilio, Marcelino, Engracia, Isidoro
04-27;Montserrat, Zita
04-28;Amado, Pedro Chanel
04-29;Teodora, Karen, Katia, Wilfredo
04-30;Jaime, Amador, Pía, Pío
05-01;Berta, Tamar, Tamara, Oroncio
05-02;Germán, Araceli, Atanasio, Vindemial
05-03;Juvenal, Violeta, Evencio, Felipe
05-04;Florián, Froilán, Lidón, Silvano
05-05;Adrián, Silvano, Niceto, Ángelica
05-06;Domingo, Evodio, Protógenes, Judith
05-07;Augusto, Flavio, Gisela
05-08;Acacio
05-09;Gregorio, Hermas, Geroncio
05-10;Job, Solange, Gordiano
05-11;Estela, Favio, Amparo, Poncio
05-12;Domingo, Nerea, Nereo, Aquileo
05-13;Imelda, Fátima
05-14;Matías, Corona, Cora, Henedina
05-15;Cecilio, Eufrasia, Isidro, Torcuato
05-16;Brenda, Ubaldo, Honorato
05-17;Eric, Erica, Pascual
05-18;Alejandra, Félix, Próspero
05-19;Celestina, Celestino, Crispín
05-20;Orlando, Baudilio, Asterio
05-21;Constantino, Virginia, Giselle
05-22;Emilio, Rita, Rosana
05-23;Miguel, Mercurial, Eufebio
05-24;Rocío, Susana, Auxiliadora
05-25;Valentín, Valentina, Sonia
05-26;Felipe Neri, Zacarías
05-27;Carolina
05-28;Agustín, Bernardo, Emilio, Germán
05-29;Alejandro, Justo, Teodosia
05-30;Fernando, Estela, Fernanda, Hernán
05-31;Visitación, Petronila, Amelia
06-01;Alta, Graciano, Laura, Candelaria
06-02;Erasmo, Marcelino, Blandina
06-03;Oliva, Kevin, Cecilio, Davino
06-04;Emma, Quirino, Ruth, Saturnina
06-05;Eloisa, Marcia, Valeria, Nicanor
06-06;Norberto, Artemio, Cándida, Ismael
06-07;Roberto
06-08;Giraldo
06-09;Blanca, Primo, Feliciano, Diana
06-10;Amalia, Amelia, Getulio, Críspulo
06-11;Benito, Bernabé, Aléida
06-12;Nazario, Olimpo, Cirilo
06-13;Antonio, Joel, Andoni
06-14;Félix, Eliseo, Digna
06-15;Lidia, Vito, Landelino, Libia
06-16;Ciro, Aquilino, Aureliano, Siro
06-17;Ismael, Isauro, Montano
06-18;Justo, Marceliano, Marina
06-19;Aurora
06-20;Elia, Silverio, Macario
06-21;Luis, Demetria, Terencio, Raul, Gina
06-22;Albano, Paulino
06-23;Alicia, Apolo, Inmaculada, Agripina
06-24;Juan, Juana, Ivana, Joan
06-25;Salomón, Guillermo
06-26;Virgilio, Pelayo, Antelmo, Alicia
06-27;Socorro, Zoilo, Ladislao, Anecto
06-28;Marcela
06-29;Ciro, David, Pablo, Pedro
06-30;Marcial, Leonila
07-01;Aarón, Esther, Luz
07-02;Visitación, Martiniano, Vidal
07-03;Tomás, Heliodoro, Jacinto, Enrique
07-04;Berta, Elizabeth, Laureano, Isabel
07-05;Filomena, Filomeno, Zoa
07-06;Isaías, Dominica, Rómulo
07-07;Fermín, Roberto, Odón, Germano
07-08;Adrián, Edgar, Marina, Priscila
07-09;Milagros, Verónica
07-10;Cristóbal, Silvano, Honorato
07-11;Benito, Olga, Abundio, Sabino
07-12;Paulina, Oliverio
07-13;Eugenio, Sara, Joel
07-14;Camila, Vladimiro, Camilo
07-15;Carmelo, Hilario, Fausto
07-16;Carmen, Marcelina, Generosa
07-17;Elías
07-18;Emiliano, Federico, Luz
07-19;Aurea, Aureo
07-20;Elías, Elisa
07-21;Angelina, Lorenza, Daniel, Julia
07-22;Teófila, Zoraida, Magdalena, Primitiva
07-23;Brigida, Teresa, Boris
07-24;Cristina
07-25;Jaime, Santiago
07-26;Ana, Joaquín
07-27;Cucufate, Natalia
07-28;Celso
07-29;Marta, Olavo
07-30;Abdón
07-31;Ignacio
08-01;Alfonso, Dalmau
08-02;Angeles, Eusebio.
08-03;Gustavo, Lídia
08-04;Juan María Vianney
08-05;Africa, Blanca, Nieves
08-06;Salvador
08-07;Cayetano
08-08;Domingo
08-09;-
08-10;Lorenzo
08-11;Clara, Filomena, Susana
08-12;Herculano
08-13;Aurora, Hipólito
08-14;Atanasia
08-15;Asunción, Estrella, María, Paloma
08-16;Roque
08-17;Isaac, Jacinto
08-18;Elena
08-19;Magín
08-20;Bernardo Abad
08-21;Sidonio
08-22;Reina
08-23;Rosa
08-24;Bartolomé
08-25;Ginés
08-26;Ceferino
08-27;Mónica
08-28;Agustín
08-29;Sabina
08-30;Gaudencia
08-31;Raimón, Ramón
09-01;Arturo, Egidio, Gil
09-02;Raquel, Antolín
09-03;Dorotea
09-04;Moisés, Rosalía
09-05;Eudosio
09-06;Eva, Fausto
09-07;Regina
09-08;Adela, Meritxell, Nuria
09-09;Claustro, Felicia
09-10;Nicolás
09-11;Patiens
09-12;Dulce, María
09-13;Juan Crisóstomo
09-14;Exaltación
09-15;Aurora, Dolores, Mar
09-16;Rogelio
09-17;Ariadna, Columba, Roberto
09-18;Sofía
09-19;Nilo
09-20;Eustaquio
09-21;Mateo, Mauricio
09-22;Digna, Inocencio
09-23;Tecla, Lina, Lino
09-24;Gerardo, Mercedes
09-25;Dalmacio
09-26;Cosme, Damián
09-27;Florentino, Vicente
09-28;Wenceslao
09-29;Gabriel, Miguel, Rafael
09-30;Jerónimo
10-01;Teresa
10-02;Angeles Custodios
10-03;Francisco, Cándido
10-04;Francisco
10-05;Gala, Plácido
10-06;Bruno
10-07;Rosario
10-08;Salud, Thaís
10-09;Abrahan, Dionisio
10-10;Tomás
10-11;Begona
10-12;Pilar, Serafín
10-13;Eduardo
10-14;Calixto
10-15;Teresa
10-16;Margarita, María Alacoque
10-17;Ignacio
10-18;Lucas
10-19;Laura
10-20;Academia, Irene
10-21;Griselda, Ursula
10-22;Salomé
10-23;Servando
10-24;Antonio María Claret
10-25;Bernardo Calvó
10-26;Evaristo
10-27;Capitolina
10-28;Judas, Simón, Tadeo
10-29;Narciso
10-30;Bienvenida, Claudio
10-31;Quintin
11-01;Benigno, Penélope
11-02;Jorge, Gorka
11-03;Ermengol, Silvia
11-04;Carlos, Carlota, Carolina
11-05;Zacarías, Elisabet, Isabel
11-06;Leonardo
11-07;Carina, Ernesto
11-08;Severiano
11-09;Teodoro
11-10;Almudena, León
11-11;Martín
11-12;Aurelio
11-13;Leandro, Diego
11-14;Teodoto, Clemente
11-15;Alberto, Leopoldo
11-16;Edmundo, Margarita
11-17;Gertrudis, Hilda, Isabel, Victoria
11-18;Aurelio
11-19;Crispino, Fausto
11-20;Félix, Lucrecia, Ocatavio
11-21;Demetrio, Fructuoso, Piedad
11-22;Cecilia
11-23;Clemente
11-24;Flora
11-25;Erasmo
11-26;Juan
11-27;Auxilio
11-28;Rufo
11-29;Saturnino
11-30;Andrés
12-01;Adelaida, Eloy, Hugo
12-02;Elisa, Elsa
12-03;Francisco Javier, María
12-04;Bárbara
12-05;Crispina
12-06;Nicolás
12-07;Ambrosio
12-08;Concepción, Inmaculada, Pura
12-09;Juan Diego
12-10;Eulalia
12-11;Dámaso
12-12;Chantal, Guadalupe
12-13;Lucía
12-14;Juan, Nicasio, Pompeyo
12-15;Fortunato, Cristina
12-16;Albina
12-17;Lázaro, Yolanda
12-18;Esperanza, Macarena
12-19;Darío
12-20;Ptolomeo
12-21;Pedro Canisio
12-22;Floro
12-23;Juan
12-24;Delfín, Társila
12-25;Belén, Eugenia, Natividad
12-26;Esteban
12-27;Teófanos
12-28;Abel
12-29;Davíd
12-30;Raúl
12-31;Silvestre
